Name,Lat,Lon,X,Y
HR05,38.7594713,-121.6698405,745.11,942.98
HR07,38.7593653,-121.6693809,785.06,931.21
HR04,38.7592318,-121.6704225,694.52,916.39
HR06,38.7591613,-121.6699742,733.49,908.57
HR08,38.7591116,-121.6695053,774.24,903.05
HR09,38.7594307,-121.6688737,829.14,938.47
HR10,38.7590759,-121.6688823,828.40,899.08
HR12,38.7591886,-121.6684398,866.85,911.59
HR14,38.7592759,-121.6679930,905.69,921.28
HR11,38.7594549,-121.6684330,867.44,941.15
HR13,38.7595572,-121.6679659,908.05,952.51
HR15,38.7597343,-121.6676750,933.33,972.17
HR17,38.7599066,-121.6672834,967.37,991.30
HR19,38.7601493,-121.6669103,999.80,1018.24
HR18,38.7596422,-121.6671474,979.19,961.94
HR20,38.7598856,-121.6667867,1010.54,988.97
HR21,38.7603574,-121.6666161,1025.37,1041.34
HR23,38.7606723,-121.6663759,1046.25,1076.30
HR25,38.7609825,-121.6661257,1068.00,1110.73
HR22,38.7602672,-121.6663566,1047.93,1031.33
HR24,38.7605529,-121.6660856,1071.48,1063.04
HR26,38.7608697,-121.6658354,1093.23,1098.21
HR27,38.7613919,-121.6660193,1077.24,1156.18
HR29,38.7617132,-121.6658146,1095.03,1191.85
HR28,38.7612698,-121.6656449,1109.78,1142.63
HR30,38.7615985,-121.6654662,1125.32,1179.12
HR31,38.7621339,-121.6656838,1106.40,1238.56
HR33,38.7624445,-121.6655440,1118.55,1273.03
HR35,38.7594191,-121.6681911,888.47,937.18
HR36,38.7595027,-121.6677215,929.29,946.46
HR32,38.7618901,-121.6653041,1139.40,1211.49
HR34,38.7622537,-121.6651904,1149.29,1251.85
Ref01,38.7596030,-121.6709210,651.19,957.60
Ref02,38.7594680,-121.6704770,689.79,942.61
Ref04,38.7592430,-121.6696000,766.01,917.63
Ref05,38.7593160,-121.6691930,801.39,925.74
Ref07,38.7594570,-121.6682210,885.88,941.39
Ref08,38.7595810,-121.6677910,923.25,955.15
Ref09,38.7597210,-121.6674180,955.67,970.69
Ref10,38.7599450,-121.6670500,987.66,995.56
Ref11,38.7602090,-121.6666870,1019.21,1024.87
Ref12,38.7605110,-121.6663910,1044.94,1058.39
Ref13,38.7608230,-121.6660790,1072.05,1093.03
Ref14,38.7611690,-121.6658670,1090.48,1131.44
Ref16,38.7618720,-121.6654780,1124.29,1209.48
Ref17,38.7622340,-121.6653180,1138.20,1249.66
Ref19,38.7592120,-121.6682130,886.57,914.19
Ref20,38.7594400,-121.6676510,935.42,939.50
HR2_1,38.7597039,-121.6706977,670.60,968.80
HR2_2,38.7594280,-121.6708957,653.40,938.18
HR16,38.7594728,-121.6675324,945.73,943.14
