DatePST,TimePST,Stage_ft,Vel_fps,Area_fsq,MeasQ_cfs,StageDisEstQ_cfs,PropDif_SD,IndexVelEstQ_cfs,PropDif_IV
2016-01-22,13:40,30.46,3.31,7943,26828,24347,-0.092,25804,-0.038
2016-01-22,13:42,30.46,3.28,7943,26626,24348,-0.086,25693,-0.035
2016-01-22,13:45,30.46,3.27,7943,26174,24348,-0.070,25617,-0.021
2016-01-22,13:47,30.46,3.28,7943,26442,24346,-0.079,25645,-0.030
2016-01-22,13:53,30.46,3.29,7941,25792,24342,-0.056,25711,-0.003
2016-01-22,13:55,30.46,3.3,7941,25703,24340,-0.053,25739,0.001
2016-01-22,13:58,30.46,3.3,7940,26437,24339,-0.079,25770,-0.025
2016-01-22,14:02,30.45,3.3,7940,24856,24336,-0.021,25748,0.036
2016-01-22,14:04,30.45,3.29,7939,25625,24335,-0.050,25713,0.003
2016-01-22,14:06,30.45,3.29,7939,25688,24334,-0.053,25679,0.000
2016-01-22,14:08,30.45,3.28,7938,26164,24333,-0.070,25647,-0.020
2016-01-22,14:10,30.45,3.27,7938,25189,24332,-0.034,25616,0.017
2016-01-22,14:12,30.45,3.27,7938,25937,24330,-0.062,25586,-0.014
2016-01-22,14:14,30.45,3.26,7937,25450,24329,-0.044,25557,0.004
2016-02-04,9:45,22.45,2.78,5500,16277,16227,-0.003,16149,-0.008
2016-02-04,9:50,22.45,2.74,5500,17392,16229,-0.067,16030,-0.078
2016-02-04,9:55,22.45,2.71,5501,16027,16231,0.013,15927,-0.006
2016-02-04,9:58,22.45,2.68,5501,16895,16232,-0.039,15838,-0.063
2016-02-04,10:03,22.45,2.69,5500,16212,16229,0.001,15871,-0.021
2016-02-04,10:07,22.45,2.72,5499,17276,16225,-0.061,15954,-0.077
2016-02-09,16:07,16.98,2.26,3948,10696,10681,-0.001,10398,-0.028
2016-02-09,16:10,16.97,2.28,3948,10877,10680,-0.018,10427,-0.041
2016-02-09,16:14,16.97,2.29,3947,10614,10679,0.006,10460,-0.014
2016-02-09,16:17,16.97,2.29,3947,10885,10676,-0.019,10456,-0.039
2016-02-18,14:38,15.05,1.98,3425,8188,8733,0.067,8455,0.033
2016-02-18,14:41,15.05,1.98,3426,8204,8734,0.065,8447,0.030
2016-02-18,14:44,15.05,1.97,3426,8110,8734,0.077,8438,0.040
2016-02-18,14:48,15.05,1.98,3426,8326,8736,0.049,8450,0.015
2016-03-09,14:01,30.23,3.14,7868,25412,24109,-0.051,24782,-0.025
2016-03-09,14:03,30.23,3.17,7868,24725,24109,-0.025,24902,0.007
2016-03-09,14:07,30.23,3.21,7869,23971,24110,0.006,25103,0.047
2016-03-09,14:10,30.23,3.23,7869,24777,24111,-0.027,25216,0.018
2016-03-09,14:12,30.23,3.26,7869,23345,24111,0.033,25325,0.085
2016-03-16,12:49,33.84,2.83,9034,24868,27768,0.117,26791,0.077
2016-03-16,12:55,33.84,2.8,9033,27361,27766,0.015,26639,-0.026
2016-03-16,13:02,33.84,2.77,9033,25300,27767,0.098,26501,0.047
2016-03-16,13:09,33.85,2.77,9035,26253,27773,0.058,26476,0.009
2016-03-16,13:16,33.85,2.77,9036,24891,27776,0.116,26511,0.065
2016-03-16,13:22,33.84,2.81,9034,25655,27771,0.082,26687,0.040
2016-03-16,13:28,33.84,2.84,9033,23902,27767,0.162,26835,0.123
2016-03-16,13:30,33.84,2.84,9033,27033,27765,0.027,26862,-0.006
2016-03-30,15:15,23.95,2.29,5942,15537,17749,0.142,15743,0.013
2016-03-30,15:18,23.95,2.29,5941,15912,17744,0.115,15739,-0.011
2016-03-30,15:21,23.94,2.29,5939,15646,17739,0.134,15735,0.006
2016-03-30,15:24,23.94,2.29,5938,15956,17735,0.111,15731,-0.014
